timestamp,model,latency,response_length
1767590529.6151772,llama,3.717,34
1767590529.6219592,gemini,3.721,32
1767590534.0209801,chatgpt,8.129,317
1767591341.0927606,gemini,1.781,38
1767591341.7608955,gemini,1.408,32
1767591345.0809867,chatgpt,4.73,317
1767591345.1800737,chatgpt,5.871,317
1767592633.055268,gemini,2.405,32
1767592634.1524858,llama,3.5,72
1767592637.8703115,chatgpt,7.227,317
1767593168.032845,llama,2.096,34
1767593169.1157916,gemini,3.185,32
1767593170.4492877,chatgpt,4.521,317
